rank,feature,group,mean_abs_shap,pct_of_total,cumulative_pct
96,medial_rectus_int_skewness,Medial Rectus,0.001632563085293,0.33065316246543563,71.20526971380181
97,fat_tex_contrast,Fat,0.0016123382027995,0.3265568911377231,71.53182660493952
98,inferior_rectus_shape_volume_voxels,Inferior Rectus,0.001585456734171,0.3211124199906044,71.85293902493012
99,superior_rectus_asym_left_voxels,Superior Rectus,0.0015801683960495,0.3200413399571203,72.17298036488727
100,superior_rectus_asym_asymmetry,Superior Rectus,0.0015796149219004,0.3199292413929721,72.49290960628024
101,fat_int_median,Fat,0.001575542261906,0.319104380216748,72.81201398649696
102,fat_shape_bb_dx_mm,Fat,0.0015679326179136,0.31756315165780896,73.12957713815479
103,lateral_rectus_shape_bb_dx_mm,Lateral Rectus,0.0015532820972933,0.3145958905341765,73.44417302868895
104,fat_tex_energy,Fat,0.001507804228245,0.3053849746691332,73.74955800335809
105,optic_nerve_shape_bb_dy,Optic Nerve,0.0015046821296447,0.3047526366081922,74.05431063996627
106,superior_rectus_shape_bb_dy,Superior Rectus,0.0014514526453741,0.29397173786741293,74.3482823778337
107,inferior_rectus_asym_left_voxels,Inferior Rectus,0.0014483529652841,0.29334394036689204,74.6416263182006
108,superior_rectus_shape_volume_voxels,Superior Rectus,0.0014454670793557,0.29275944392853925,74.93438576212912
109,superior_rectus_int_p10,Superior Rectus,0.0014415001330203,0.29195599359761665,75.22634175572675
110,superior_rectus_shape_bb_dx_mm,Superior Rectus,0.0014409838106937,0.2918514196233061,75.51819317535006
111,medial_rectus_tex_homogeneity,Medial Rectus,0.0014255798664056,0.2887315629150506,75.80692473826511
112,lacrimal_gland_tex_homogeneity,Lacrimal Gland,0.0014079489009009,0.28516065373918753,76.0920853920043
113,superior_rectus_tex_contrast,Superior Rectus,0.0013959889566657,0.28273833179652924,76.37482372380083
114,medial_rectus_asym_left_voxels,Medial Rectus,0.0013861453055768,0.28074463587624765,76.65556835967708
115,medial_rectus_shape_bb_dy_mm,Medial Rectus,0.0013850922450794,0.28053135297963583,76.9360997126567
116,eyeball_int_p10,Eyeball,0.0013815384455648,0.2798115798456869,77.2159112925024
117,inferior_rectus_shape_bb_dx,Inferior Rectus,0.0013654360915031,0.276550269859198,77.4924615623616
118,lateral_rectus_int_kurtosis,Lateral Rectus,0.0013603004855799,0.27551012362841537,77.76797168599
119,fat_shape_ar_dy_dz,Fat,0.001359262070496,0.2752998069585504,78.04327149294856
120,lacrimal_gland_int_skewness,Lacrimal Gland,0.0013586248967152,0.2751707561870614,78.31844224913561
121,lateral_rectus_shape_ar_dx_dy,Lateral Rectus,0.0013414987277797,0.27170208660212825,78.59014433573775
122,fat_shape_ar_dx_dy,Fat,0.0013367178271047,0.27073378103289003,78.86087811677064
123,inferior_rectus_shape_bb_dy_mm,Inferior Rectus,0.001335301497013,0.27044692288441524,79.13132503965505
124,inferior_rectus_shape_bb_dy,Inferior Rectus,0.0013261603935104,0.2685955182993262,79.39992055795439
125,muscle_asym_asymmetry,Muscle (generic),0.0013226281544657,0.2678801119415349,79.66780066989591
126,medial_rectus_shape_ar_dx_dz,Medial Rectus,0.0013224092097565,0.2678357677069052,79.93563643760282
127,ratio_eyeball_to_fat,Clinical,0.0013186851602646,0.2670815127854462,80.20271795038828
128,medial_rectus_shape_ar_dy_dz,Medial Rectus,0.0013078109533838,0.2648790919866232,80.46759704237489
129,optic_nerve_shape_bb_dy_mm,Optic Nerve,0.0013063653798593,0.26458631098369706,80.7321833533586
130,medial_rectus_int_median,Medial Rectus,0.0012941868293842,0.262119713358703,80.9943030667173
131,lateral_rectus_asym_asymmetry,Lateral Rectus,0.001292017415685,0.26168032850013406,81.25598339521744
132,lacrimal_gland_shape_volume_mm3,Lacrimal Gland,0.0012860902569108,0.2604798641439452,81.51646325936139
133,muscle_shape_ar_dx_dy,Muscle (generic),0.0012839409153986,0.26004454463033533,81.7765078039917
134,fat_shape_bb_dx,Fat,0.001281912307575,0.259633678062104,82.03614148205382
135,medial_rectus_tex_energy,Medial Rectus,0.0012655466886702,0.2563190474084254,82.29246052946225
136,lateral_rectus_tex_homogeneity,Lateral Rectus,0.0012633723750269,0.2558786701336815,82.54833919959592
137,lacrimal_gland_shape_bb_dy_mm,Lacrimal Gland,0.0012572659791195,0.25464190376536355,82.80298110336129
138,lacrimal_gland_tex_correlation,Lacrimal Gland,0.0012370708263188,0.25055165377736643,83.05353275713865
139,inferior_rectus_shape_volume_mm3,Inferior Rectus,0.0012340446716965,0.24993874784742912,83.30347150498608
140,muscle_int_std,Muscle (generic),0.0012281316967343,0.2487411562269623,83.55221266121305
141,inferior_rectus_int_skewness,Inferior Rectus,0.0012255948011733,0.24822734297977705,83.80044000419282
142,lateral_rectus_int_skewness,Lateral Rectus,0.0012239921528792,0.24790274864615663,84.04834275283898
143,lacrimal_gland_int_median,Lacrimal Gland,0.0012119704246066,0.24546791319787015,84.29381066603685
144,lacrimal_gland_tex_energy,Lacrimal Gland,0.0012033100175726,0.24371386706034148,84.53752453309718
145,lateral_rectus_shape_bb_dz,Lateral Rectus,0.0011954236704062,0.24211659608541777,84.77964112918261
146,fat_int_kurtosis,Fat,0.0011864337185832,0.240295805190741,85.01993693437335
147,lacrimal_gland_int_kurtosis,Lacrimal Gland,0.001182050550214,0.23940805482081617,85.25934498919415
